GEO_ID,NAME,med_hhinc,med_hhinc_moe
0500000US06033,"Lake County, California",42475,2511
0500000US06043,"Mariposa County, California",51199,3487
0500000US06115,"Yuba County, California",52624,2827
0500000US06013,"Contra Costa County, California",93712,926
0500000US06035,"Lassen County, California",56362,1943
0500000US06083,"Santa Barbara County, California",71657,1476
0500000US06097,"Sonoma County, California",76753,1039
0500000US06025,"Imperial County, California",45834,1861
0500000US06051,"Mono County, California",63018,5826
0500000US06001,"Alameda County, California",92574,1023
0500000US06067,"Sacramento County, California",63902,512
0500000US06055,"Napa County, California",84753,2198
0500000US06053,"Monterey County, California",66676,1234
0500000US06091,"Sierra County, California",48125,7465
0500000US06073,"San Diego County, California",74855,578
0500000US06113,"Yolo County, California",65923,2023
0500000US06023,"Humboldt County, California",45528,1359
0500000US06003,"Alpine County, California",64688,12933
0500000US06045,"Mendocino County, California",49233,2356
0500000US06087,"Santa Cruz County, California",78041,1462
0500000US06037,"Los Angeles County, California",64251,247
0500000US06065,"Riverside County, California",63948,454
0500000US06085,"Santa Clara County, California",116178,938
0500000US06041,"Marin County, California",110217,3332
0500000US06093,"Siskiyou County, California",44200,2158
0500000US06089,"Shasta County, California",50905,1445
0500000US06015,"Del Norte County, California",45258,5035
0500000US06079,"San Luis Obispo County, California",70699,1500
0500000US06021,"Glenn County, California",47395,3209
0500000US06007,"Butte County, California",48443,1477
0500000US06063,"Plumas County, California",53270,3391
0500000US06029,"Kern County, California",52479,729
0500000US06059,"Orange County, California",85398,719
0500000US06009,"Calaveras County, California",58151,3310
0500000US06101,"Sutter County, California",56955,2206
0500000US06081,"San Mateo County, California",113776,1672
0500000US06109,"Tuolumne County, California",56493,3992
0500000US06077,"San Joaquin County, California",61145,1022
0500000US06005,"Amador County, California",61198,3241
0500000US06047,"Merced County, California",50129,1671
0500000US06049,"Modoc County, California",45149,5555
0500000US06027,"Inyo County, California",52874,3230
0500000US06099,"Stanislaus County, California",57387,1316
0500000US06103,"Tehama County, California",42899,2347
0500000US06069,"San Benito County, California",81977,4226
0500000US06017,"El Dorado County, California",80582,2117
0500000US06075,"San Francisco County, California",104552,1533
0500000US06107,"Tulare County, California",47518,1141
0500000US06057,"Nevada County, California",63240,1916
0500000US06039,"Madera County, California",52884,1923
0500000US06105,"Trinity County, California",38497,4689
0500000US06071,"San Bernardino County, California",60164,626
0500000US06061,"Placer County, California",84357,1469
0500000US06095,"Solano County, California",77609,1309
0500000US06011,"Colusa County, California",56704,4501
0500000US06031,"Kings County, California",53865,2352
0500000US06019,"Fresno County, California",51261,808
0500000US06111,"Ventura County, California",84017,1199
