lon,lat,STATION,OPERATOR,COUNTY
-122.2833479,37.8740612,NORTH BERKELEY,BART,ALA
-122.2682495,37.86968944,DOWNTOWN BERKELEY,BART,ALA
-122.270119,37.85320738,ASHBY,BART,ALA
-122.2517774,37.84450969,ROCKRIDGE,BART,ALA
-122.2671204,37.82870505,MACARTHUR,BART,ALA
-122.2683866,37.80807542,19TH STREET/OAKLAND,BART,ALA
-122.2948988,37.80458006,WEST OAKLAND,BART,ALA
-122.2719578,37.80259284,12TH ST/OAKLAND CITY CENTER,BART,ALA
-122.2655409,37.79767922,LAKE MERRITT,BART,ALA
-122.2241971,37.77455945,FRUITVALE,BART,ALA
-122.1971801,37.75386112,COLISEUM/OAKLAND AIRPORT (OAK),BART,ALA
-122.1610335,37.72219124,SAN LEANDRO,BART,ALA
-121.8984905,37.70247304,DUBLIN/PLEASANTON,"Amtrak,BART",ALA
-122.1270599,37.69756644,BAY FAIR,BART,ALA
-122.0764157,37.690716,CASTRO VALLEY,BART,ALA
-122.0872041,37.67012396,HAYWARD,BART,ALA
-122.0570371,37.63448308,SOUTH HAYWARD,BART,ALA
-122.017151,37.59086511,UNION CITY,BART,ALA
-121.9776535,37.55843364,FREMONT,BART,ALA
-121.9457395,38.01891416,PITTSBURG/BAY POINT,BART,CC
-122.0246198,38.00314706,NORTH CONCORD/MARTINEZ,BART,CC
-122.0294263,37.9724133,CONCORD,BART,CC
-122.3526218,37.93680894,RICHMOND,"Amtrak,BART",CC
-122.3168946,37.92518348,EL CERRITO DEL NORTE,BART,CC
-122.0560152,37.92809807,PLEASANT HILL/CONTRA COSTA CEN,BART,CC
-122.2989117,37.90260865,EL CERRITO PLAZA,BART,CC
-122.067482,37.9050448,WALNUT CREEK,BART,CC
-122.1257754,37.89288447,LAFAYETTE,BART,CC
-122.1835559,37.87908278,ORINDA,BART,CC
-122.3960332,37.7932222,EMBARCADERO,BART,SF
-122.4015398,37.78888642,MONTGOMERY STREET,BART,SF
-122.4068236,37.78476966,POWELL STREET,BART,SF
-122.4141845,37.77896496,CIVIC CENTER/ UN PLAZA,BART,SF
-122.4194566,37.76468721,16TH STREET & MISSION,BART,SF
-122.4183045,37.75278417,24TH STREET & MISSION,BART,SF
-122.43396,37.73313054,GLEN PARK,BART,SF
-122.4471286,37.72160655,BALBOA PARK,BART,SF
-122.4686664,37.70673685,DALY CITY,BART,SM
-122.4662016,37.68460941,COLMA,BART,SM
-122.4156287,37.63733103,SAN BRUNO,BART,SM
-122.3910788,37.6162865,SFO INTERNATIONAL AIRPORT,BART,SM
-122.3867939,37.60033587,MILLBRAE,BART,SM
-122.4440494,37.66430607,SOUTH SAN FRANCISCO,BART,SM
-121.9276503,37.69987593,WEST DUBLIN/PLEASANTON,BART,ALA
